,allergic contact dermatitis,basal cell carcinoma,dariers disease,ehlers danlos syndrome,erythema multiforme,folliculitis,granuloma annulare,granuloma pyogenic,hailey hailey disease,kaposi sarcoma,keloid,lichen planus,lupus erythematosus,melanoma,mycosis fungoides,myiasis,nematode infection,neutrophilic dermatoses,photodermatoses,pityriasis rosea,psoriasis,scabies,scleroderma,squamous cell carcinoma,tungiasis,vitiligo
allergic contact dermatitis,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
basal cell carcinoma,0,30,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,0
dariers disease,1,0,5,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
ehlers danlos syndrome,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
erythema multiforme,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
folliculitis,0,0,0,0,0,7,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,1,1
granuloma annulare,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
granuloma pyogenic,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hailey hailey disease,1,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
kaposi sarcoma,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keloid,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
lichen planus,1,1,0,0,1,2,1,0,0,1,0,21,1,0,0,1,3,0,1,0,0,0,0,0,0,1
lupus erythematosus,1,1,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,2
melanoma,0,2,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0
mycosis fungoides,1,0,0,0,0,0,1,0,0,0,0,1,2,0,6,0,0,0,0,1,0,0,1,0,0,0
myiasis,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0
nematode infection,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,9,0,3,0,0,0,0,0,1,1
neutrophilic dermatoses,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1
photodermatoses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,1
pityriasis rosea,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,0,0
psoriasis,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,10,0,0,0,0,1
scabies,0,2,2,1,1,3,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,5,0,1,0,0
scleroderma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1
squamous cell carcinoma,2,4,1,0,0,0,0,1,0,1,0,2,1,2,0,0,0,1,0,0,0,1,0,14,1,1
tungiasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0
vitiligo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4
