class,precision,recall,f1,n_test
allergic contact dermatitis,0.2727272727272727,0.5,0.35294117647058826,6
basal cell carcinoma,0.6976744186046512,0.7692307692307693,0.7317073170731707,39
dariers disease,0.5555555555555556,0.45454545454545453,0.5,11
ehlers danlos syndrome,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
erythema multiforme,0.4,0.6666666666666666,0.5,6
folliculitis,0.3888888888888889,0.4666666666666667,0.42424242424242425,15
granuloma annulare,0.4,0.2857142857142857,0.3333333333333333,7
granuloma pyogenic,0.6,0.75,0.6666666666666666,4
hailey hailey disease,0.7333333333333333,0.7333333333333333,0.7333333333333333,15
kaposi sarcoma,0.3076923076923077,0.6666666666666666,0.42105263157894735,6
keloid,0.25,0.3333333333333333,0.2857142857142857,3
lichen planus,0.65625,0.6,0.6268656716417911,35
lupus erythematosus,0.5,0.5625,0.5294117647058824,16
melanoma,0.6363636363636364,0.5384615384615384,0.5833333333333334,13
mycosis fungoides,1.0,0.46153846153846156,0.631578947368421,13
myiasis,0.3333333333333333,0.16666666666666666,0.2222222222222222,6
nematode infection,0.47368421052631576,0.47368421052631576,0.47368421052631576,19
neutrophilic dermatoses,0.4375,0.5384615384615384,0.4827586206896552,13
photodermatoses,0.2727272727272727,0.375,0.3157894736842105,8
pityriasis rosea,0.5714285714285714,0.5714285714285714,0.5714285714285714,14
psoriasis,0.6666666666666666,0.625,0.6451612903225806,16
scabies,0.625,0.23809523809523808,0.3448275862068966,21
scleroderma,0.6666666666666666,0.6666666666666666,0.6666666666666666,6
squamous cell carcinoma,0.7368421052631579,0.4375,0.5490196078431373,32
tungiasis,0.75,0.9375,0.8333333333333334,16
vitiligo,0.26666666666666666,0.6666666666666666,0.38095238095238093,6
