class,n_lighter_I-III,recall_lighter_I-III,n_darker_IV-VI,recall_darker_IV-VI
allergic contact dermatitis,5,0.4,1,1.0
basal cell carcinoma,20,0.8,18,0.7222222222222222
dariers disease,4,0.5,7,0.42857142857142855
ehlers danlos syndrome,2,1.0,4,0.75
erythema multiforme,2,1.0,4,0.5
folliculitis,10,0.5,5,0.4
granuloma annulare,3,0.6666666666666666,4,0.0
granuloma pyogenic,2,1.0,2,0.5
hailey hailey disease,9,0.7777777777777778,6,0.6666666666666666
kaposi sarcoma,2,0.0,4,1.0
keloid,2,0.5,1,0.0
lichen planus,12,0.4166666666666667,23,0.6956521739130435
lupus erythematosus,3,0.3333333333333333,13,0.6153846153846154
melanoma,5,0.4,8,0.625
mycosis fungoides,8,0.625,5,0.2
myiasis,3,0.0,1,0.0
nematode infection,7,0.42857142857142855,12,0.5
neutrophilic dermatoses,6,0.3333333333333333,6,0.6666666666666666
photodermatoses,5,0.4,3,0.3333333333333333
pityriasis rosea,8,0.75,6,0.3333333333333333
psoriasis,5,0.2,11,0.8181818181818182
scabies,14,0.07142857142857142,7,0.5714285714285714
scleroderma,0,,6,0.6666666666666666
squamous cell carcinoma,12,0.5,15,0.4
tungiasis,12,0.9166666666666666,2,1.0
vitiligo,2,0.0,4,1.0
