,allergic contact dermatitis,basal cell carcinoma,dariers disease,ehlers danlos syndrome,erythema multiforme,folliculitis,granuloma annulare,granuloma pyogenic,hailey hailey disease,kaposi sarcoma,keloid,lichen planus,lupus erythematosus,melanoma,mycosis fungoides,myiasis,nematode infection,neutrophilic dermatoses,photodermatoses,pityriasis rosea,psoriasis,scabies,scleroderma,squamous cell carcinoma,tungiasis,vitiligo
allergic contact dermatitis,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basal cell carcinoma,1,24,0,0,0,2,0,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,3,2,0
dariers disease,1,0,4,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0
ehlers danlos syndrome,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erythema multiforme,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
folliculitis,0,0,1,0,0,9,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
granuloma annulare,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0
granuloma pyogenic,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hailey hailey disease,1,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
kaposi sarcoma,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keloid,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lichen planus,0,1,0,0,0,1,1,0,0,1,0,22,0,3,0,0,0,1,1,0,1,1,0,2,0,0
lupus erythematosus,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,4,0,0,1,0,1,0,1,1
melanoma,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0,0,1,0
mycosis fungoides,1,0,1,1,1,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
myiasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
nematode infection,1,1,0,2,1,0,2,1,1,0,1,1,0,1,0,0,6,0,1,0,0,0,0,0,0,0
neutrophilic dermatoses,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0
photodermatoses,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0
pityriasis rosea,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,7,0,1,0,0,0,0
psoriasis,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,8,2,0,0,1,0
scabies,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,10,1,0,0,0
scleroderma,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0
squamous cell carcinoma,1,2,0,0,0,0,2,0,0,0,1,1,0,3,0,1,1,1,0,0,0,0,0,15,2,2
tungiasis,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,12,0
vitiligo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
