class,precision,recall,f1,n_test
allergic contact dermatitis,0.4166666666666667,0.8333333333333334,0.5555555555555556,6
basal cell carcinoma,0.7272727272727273,0.6153846153846154,0.6666666666666666,39
dariers disease,0.5714285714285714,0.36363636363636365,0.4444444444444444,11
ehlers danlos syndrome,0.6,1.0,0.75,6
erythema multiforme,0.4,0.6666666666666666,0.5,6
folliculitis,0.5294117647058824,0.6,0.5625,15
granuloma annulare,0.25,0.2857142857142857,0.26666666666666666,7
granuloma pyogenic,0.6,0.75,0.6666666666666666,4
hailey hailey disease,0.4583333333333333,0.7333333333333333,0.5641025641025641,15
kaposi sarcoma,0.625,0.8333333333333334,0.7142857142857143,6
keloid,0.5,1.0,0.6666666666666666,3
lichen planus,0.8148148148148148,0.6285714285714286,0.7096774193548387,35
lupus erythematosus,0.75,0.375,0.5,16
melanoma,0.43478260869565216,0.7692307692307693,0.5555555555555556,13
mycosis fungoides,0.875,0.5384615384615384,0.6666666666666666,13
myiasis,0.625,0.8333333333333334,0.7142857142857143,6
nematode infection,0.42857142857142855,0.3157894736842105,0.36363636363636365,19
neutrophilic dermatoses,0.38095238095238093,0.6153846153846154,0.47058823529411764,13
photodermatoses,0.5454545454545454,0.75,0.631578947368421,8
pityriasis rosea,0.875,0.5,0.6363636363636364,14
psoriasis,0.7272727272727273,0.5,0.5925925925925926,16
scabies,0.5882352941176471,0.47619047619047616,0.5263157894736842,21
scleroderma,0.5,0.5,0.5,6
squamous cell carcinoma,0.6818181818181818,0.46875,0.5555555555555556,32
tungiasis,0.5714285714285714,0.75,0.6486486486486487,16
vitiligo,0.5714285714285714,0.6666666666666666,0.6153846153846154,6
