class,precision,recall,f1,n_test
allergic contact dermatitis,0.25,0.16666666666666666,0.2,6
basal cell carcinoma,0.6216216216216216,0.5897435897435898,0.6052631578947368,39
dariers disease,0.3333333333333333,0.18181818181818182,0.23529411764705882,11
ehlers danlos syndrome,1.0,0.6666666666666666,0.8,6
erythema multiforme,0.25,0.16666666666666666,0.2,6
folliculitis,0.6153846153846154,0.5333333333333333,0.5714285714285714,15
granuloma annulare,0.0,0.0,0.0,7
granuloma pyogenic,0.5,0.5,0.5,4
hailey hailey disease,0.6875,0.7333333333333333,0.7096774193548387,15
kaposi sarcoma,0.2857142857142857,0.6666666666666666,0.4,6
keloid,0.0,0.0,0.0,3
lichen planus,0.7407407407407407,0.5714285714285714,0.6451612903225806,35
lupus erythematosus,0.2777777777777778,0.625,0.38461538461538464,16
melanoma,0.5555555555555556,0.38461538461538464,0.45454545454545453,13
mycosis fungoides,0.5,0.5384615384615384,0.5185185185185185,13
myiasis,0.25,0.16666666666666666,0.2,6
nematode infection,0.5384615384615384,0.3684210526315789,0.4375,19
neutrophilic dermatoses,0.42857142857142855,0.46153846153846156,0.4444444444444444,13
photodermatoses,0.23529411764705882,0.5,0.32,8
pityriasis rosea,0.35,0.5,0.4117647058823529,14
psoriasis,0.5384615384615384,0.4375,0.4827586206896552,16
scabies,0.42857142857142855,0.2857142857142857,0.34285714285714286,21
scleroderma,0.6666666666666666,0.3333333333333333,0.4444444444444444,6
squamous cell carcinoma,0.46153846153846156,0.375,0.41379310344827586,32
tungiasis,0.6666666666666666,0.875,0.7567567567567568,16
vitiligo,0.2,0.16666666666666666,0.18181818181818182,6
