class,n_lighter_I-III,recall_lighter_I-III,n_darker_IV-VI,recall_darker_IV-VI
allergic contact dermatitis,5,0.2,1,0.0
basal cell carcinoma,20,0.6,18,0.5555555555555556
dariers disease,4,0.0,7,0.2857142857142857
ehlers danlos syndrome,2,0.5,4,0.75
erythema multiforme,2,0.5,4,0.0
folliculitis,10,0.6,5,0.4
granuloma annulare,3,0.0,4,0.0
granuloma pyogenic,2,0.5,2,0.5
hailey hailey disease,9,0.6666666666666666,6,0.8333333333333334
kaposi sarcoma,2,0.0,4,1.0
keloid,2,0.0,1,0.0
lichen planus,12,0.4166666666666667,23,0.6521739130434783
lupus erythematosus,3,0.6666666666666666,13,0.6153846153846154
melanoma,5,0.0,8,0.625
mycosis fungoides,8,0.75,5,0.2
myiasis,3,0.0,1,0.0
nematode infection,7,0.2857142857142857,12,0.4166666666666667
neutrophilic dermatoses,6,0.16666666666666666,6,0.8333333333333334
photodermatoses,5,0.6,3,0.3333333333333333
pityriasis rosea,8,0.5,6,0.5
psoriasis,5,0.4,11,0.45454545454545453
scabies,14,0.35714285714285715,7,0.14285714285714285
scleroderma,0,,6,0.3333333333333333
squamous cell carcinoma,12,0.3333333333333333,15,0.4
tungiasis,12,0.9166666666666666,2,0.5
vitiligo,2,0.0,4,0.25
