class,precision,recall,f1,n_test
allergic contact dermatitis,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
basal cell carcinoma,0.7894736842105263,0.7692307692307693,0.7792207792207793,39
dariers disease,0.9,0.8181818181818182,0.8571428571428571,11
ehlers danlos syndrome,1.0,0.8333333333333334,0.9090909090909091,6
erythema multiforme,0.8,0.6666666666666666,0.7272727272727273,6
folliculitis,0.7647058823529411,0.8666666666666667,0.8125,15
granuloma annulare,0.6,0.42857142857142855,0.5,7
granuloma pyogenic,0.75,0.75,0.75,4
hailey hailey disease,0.9333333333333333,0.9333333333333333,0.9333333333333333,15
kaposi sarcoma,0.8,0.6666666666666666,0.7272727272727273,6
keloid,1.0,0.6666666666666666,0.8,3
lichen planus,0.7567567567567568,0.8,0.7777777777777778,35
lupus erythematosus,0.7619047619047619,1.0,0.8648648648648649,16
melanoma,0.875,0.5384615384615384,0.6666666666666666,13
mycosis fungoides,0.8333333333333334,0.7692307692307693,0.8,13
myiasis,0.6,0.5,0.5454545454545454,6
nematode infection,0.6470588235294118,0.5789473684210527,0.6111111111111112,19
neutrophilic dermatoses,0.75,0.6923076923076923,0.72,13
photodermatoses,0.7142857142857143,0.625,0.6666666666666666,8
pityriasis rosea,0.6666666666666666,0.8571428571428571,0.75,14
psoriasis,0.9285714285714286,0.8125,0.8666666666666667,16
scabies,0.6956521739130435,0.7619047619047619,0.7272727272727273,21
scleroderma,0.5555555555555556,0.8333333333333334,0.6666666666666666,6
squamous cell carcinoma,0.6176470588235294,0.65625,0.6363636363636364,32
tungiasis,0.8333333333333334,0.9375,0.8823529411764706,16
vitiligo,0.8,0.6666666666666666,0.7272727272727273,6
