class,n_lighter_I-III,recall_lighter_I-III,n_darker_IV-VI,recall_darker_IV-VI
allergic contact dermatitis,5,0.8,1,1.0
basal cell carcinoma,20,0.65,18,0.8888888888888888
dariers disease,4,0.75,7,0.8571428571428571
ehlers danlos syndrome,2,1.0,4,0.75
erythema multiforme,2,0.0,4,1.0
folliculitis,10,0.9,5,0.8
granuloma annulare,3,0.6666666666666666,4,0.25
granuloma pyogenic,2,1.0,2,0.5
hailey hailey disease,9,0.8888888888888888,6,1.0
kaposi sarcoma,2,0.0,4,1.0
keloid,2,0.5,1,1.0
lichen planus,12,0.8333333333333334,23,0.782608695652174
lupus erythematosus,3,1.0,13,1.0
melanoma,5,0.0,8,0.875
mycosis fungoides,8,0.875,5,0.6
myiasis,3,0.6666666666666666,1,0.0
nematode infection,7,0.2857142857142857,12,0.75
neutrophilic dermatoses,6,0.6666666666666666,6,0.8333333333333334
photodermatoses,5,0.6,3,0.6666666666666666
pityriasis rosea,8,1.0,6,0.6666666666666666
psoriasis,5,0.6,11,0.9090909090909091
scabies,14,0.7142857142857143,7,0.8571428571428571
scleroderma,0,,6,0.8333333333333334
squamous cell carcinoma,12,0.8333333333333334,15,0.6666666666666666
tungiasis,12,0.9166666666666666,2,1.0
vitiligo,2,1.0,4,0.5
